FixedRef	DocumentedNameID	Designation	Primary Entry	Alias Type	Low Quality	Acronym	Script	Name
36	13178	Business	false	A.K.A.	false	false	Latin	AERO-CARIBBEAN
36	4375	Business	true	Name	false	false	Latin	AEROCARIBBEAN AIRLINES
173	12583	Business	false	A.K.A.	false	false	Latin	AVIA IMPORT
173	4310	Business	true	Name	false	false	Latin	ANGLO-CARIBBEAN CO., LTD.
306	12584	Business	false	A.K.A.	true	false	Latin	BNC
306	12585	Business	false	A.K.A.	false	false	Latin	NATIONAL BANK OF CUBA
306	4314	Business	true	Name	false	false	Latin	BANCO NACIONAL DE CUBA
424	4322	Business	true	Name	false	false	Latin	BOUTIQUE LA MAISON
475	4330	Business	true	Name	false	false	Latin	CASA DE CUBA
480	4334	Business	true	Name	false	false	Latin	CECOEX, S.A.
535	4339	Business	true	Name	false	false	Latin	CIMEX
536	4340	Business	true	Name	false	false	Latin	CIMEX IBERICA
537	4341	Business	true	Name	false	false	Latin	CIMEX, S.A.
540	12593	Business	false	A.K.A.	false	false	Latin	COIBA
540	4342	Business	true	Name	false	false	Latin	COMERCIAL IBEROAMERICANA, S.A.
551	4346	Business	true	Name	false	false	Latin	COMERCIAL CIMEX, S.A.
552	12594	Business	false	A.K.A.	false	false	Latin	CRYMSA
552	4347	Business	true	Name	false	false	Latin	COMERCIAL DE RODAJES Y MAQUINARIA, S.A.
555	12596	Business	false	A.K.A.	false	false	Latin	COPROVA
555	12597	Business	false	A.K.A.	false	false	Latin	COPROVA SARL
555	4349	Business	true	Name	false	false	Latin	COMERCIALIZACION DE PRODUCTOS VARIOS
559	12598	Business	false	A.K.A.	false	false	Latin	CIMEX
559	4350	Business	true	Name	false	false	Latin	COMPANIA DE IMPORTACION Y EXPORTACION IBERIA
576	4355	Business	true	Name	false	false	Latin	CORPORACION CIMEX, S.A.
578	4357	Business	true	Name	false	false	Latin	COTEI
589	4361	Business	true	Name	false	false	Latin	CRYMSA - ARGENTINA, S.A.
590	4362	Business	true	Name	false	false	Latin	CUBACANCUN CIGARS AND GIFT SHOPS
591	4363	Business	true	Name	false	false	Latin	CUBAEXPORT
592	4364	Business	true	Name	false	false	Latin	CUBAFRUTAS
593	4365	Business	true	Name	false	false	Latin	CUBAN CIGARS TRADE
621	4366	Business	true	Name	false	false	Latin	CUBANATUR
622	4367	Business	true	Name	false	false	Latin	CUBATABACO
636	4369	Business	true	Name	false	false	Latin	CUMEXINT, S.A.
651	13182	Business	false	A.K.A.	false	false	Latin	DELVEST HOLDING COMPANY
651	4384	Business	true	Name	false	false	Latin	DELVEST HOLDING, S.A.
701	4307	Business	true	Name	false	false	Latin	EDICIONES CUBANAS
702	4148	Business	true	Name	false	false	Latin	EDYJU, S.A.
735	12415	Business	false	A.K.A.	false	false	Latin	CUBANA AIRLINES
735	4150	Business	true	Name	false	false	Latin	EMPRESA CUBANA DE AVIACION
751	12539	Business	false	A.K.A.	true	false	Latin	CARIBEX
751	12540	Business	false	A.K.A.	false	false	Latin	CARIBBEAN EXPORT ENTERPRISE
751	4240	Business	true	Name	false	false	Latin	EMPRESA CUBANA DE PESCADOS Y MARISCOS
758	12553	Business	false	A.K.A.	false	false	Latin	CUBATUR
758	4247	Business	true	Name	false	false	Latin	EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL
767	4248	Business	true	Name	false	false	Latin	ETCO INTERNATIONAL COMMODITIES LTD.
768	4249	Business	true	Name	false	false	Latin	ETCO INTERNATIONAL COMPANY, LIMITED
815	12554	Business	false	A.K.A.	false	false	Latin	GALAX INC.
815	4257	Business	true	Name	false	false	Latin	GALAX TRADING CO., LTD.
906	4267	Business	true	Name	false	false	Latin	HAVIN BANK LIMITED
906	40097	Business	false	A.K.A.	false	false	Latin	HAVANA INTERNATIONAL BANK, LTD
907	4268	Business	true	Name	false	false	Latin	HAVANATUR
1042	4283	Business	true	Name	false	false	Latin	INSTITUTO NACIONAL DE TURISMO DE CUBA
1043	4284	Business	true	Name	false	false	Latin	INTERCONSULT
1241	4289	Business	true	Name	false	false	Latin	KAVE, S.A.
1287	12559	Business	false	A.K.A.	false	false	Latin	CUFLET
1287	12560	Business	false	A.K.A.	false	false	Latin	CUBAN FREIGHT ENTERPRISE
1287	4292	Business	true	Name	false	false	Latin	LA EMPRESA CUBANA DE FLETES
1316	4147	Business	true	Name	false	false	Latin	LEVERAGE, S.A.
1555	4076	Business	true	Name	false	false	Latin	NIREF
1570	4077	Business	true	Name	false	false	Latin	NORDSTRAND LTD.
1571	4078	Business	true	Name	false	false	Latin	NORDSTRAND MARITIME AND TRADING COMPANY
1641	4088	Business	true	Name	false	false	Latin	PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION
1660	4097	Business	true	Name	false	false	Latin	PESCABRAVA, S.A.
1700	4103	Business	true	Name	false	false	Latin	PRELASA
1701	4109	Business	true	Name	false	false	Latin	PRENSA LATINA CANADA LTD.
1702	4110	Business	true	Name	false	false	Latin	PRENSA LATINA
1888	4132	Business	true	Name	false	false	Latin	SERVINAVES, S.A.
2109	13215	Business	false	A.K.A.	false	false	Latin	TROVER, S.A.
2109	4404	Business	true	Name	false	false	Latin	TROBER, S.A.
2110	13216	Business	false	A.K.A.	false	false	Latin	TROPICANA TOURS GMBH
2110	4405	Business	true	Name	false	false	Latin	TROPIC TOURS GMBH
2184	4412	Business	true	Name	false	false	Latin	VIAJES GUAMA, S.A.
2186	4413	Business	true	Name	false	false	Latin	VINALES TOURS
2674	13218	Individual	false	A.K.A.	false	false	Latin	ZAYDAN, Muhammad
2674	4420	Individual	true	Name	false	false	Latin	ABBAS, Abu
2675	4421	Individual	true	Name	false	false	Latin	AL RAHMAN, Shaykh Umar Abd
2676	13219	Individual	false	A.K.A.	false	false	Latin	AL-ZAWAHIRI, Ayman
2676	13220	Individual	false	A.K.A.	false	false	Latin	SALIM, Ahmad Fuad
2676	13221	Individual	false	A.K.A.	false	false	Latin	AL-ZAWAHIRI, Aiman Muhammad Rabi
2676	4422	Individual	true	Name	false	false	Latin	AL ZAWAHIRI, Dr. Ayman
2677	13222	Individual	false	A.K.A.	false	false	Latin	ZUMAR, Abbud
2677	4423	Individual	true	Name	false	false	Latin	Al-Zomor, Abboud Abdul Latif Hassan
